,NDC Description,NADAC_Per_Unit,Effective_Date,Pricing_Unit,OTC,Classification_for_Rate_Setting,rx_name,dosage
6148809,12-HR DECONGEST 120 MG CAPLET,0.32280,181017,EA,Y,G,12-HR DECONGEST,120 MG CAPLET
2983190,12.5CPD-100GFN-30PSE LIQUID,0.09835,131121,ML,Y,G,12.5CPD-100GFN-30PSE LIQUID,
2949453,12.5CPD-1DCPM-30PSE LIQUID,0.09810,150218,ML,Y,G,12.5CPD-1DCPM-30PSE LIQUID,
6127069,12HR NASAL DECONGEST ER 120 MG,0.32280,181017,EA,Y,G,12HR NASAL DECONGEST ER,120 MG
6133647,24H NASAL ALLERGY 55 MCG SPRAY,0.71712,181017,ML,Y,G,24H NASAL ALLERGY,55 MCG SPRAY
6146244,3-DAY VAGINAL CREAM,0.31495,181017,GM,Y,G,3-DAY VAGINAL CREAM,
6144117,4 WAY 1% NASAL SPRAY,0.19196,180919,ML,Y,B,4 WAY,1% NASAL SPRAY
6134857,8 HOUR ER 650 MG CAPLET,0.05719,181017,EA,Y,G,8 HOUR ER,650 MG CAPLET
6137590,8HR ARTHRITIS PAIN ER 650 MG,0.05719,181017,EA,Y,G,8HR ARTHRITIS PAIN ER,650 MG
6129463,8HR MUSCLE ACHE-PAIN ER 650 MG,0.05719,181017,EA,Y,G,8HR MUSCLE ACHE-PAIN ER,650 MG
2975339,A + D FIRST AID OINTMENT,0.04904,140820,GM,Y,B,A + D FIRST AID OINTMENT,
3015903,A + D OINTMENT,0.04904,140820,GM,Y,B,A + D OINTMENT,
2707288,A+D ZINC OXIDE CREAM,0.03021,141119,GM,Y,B,A+D ZINC OXIDE CREAM,
3056728,A-MANTLE CREAM,0.37173,130321,GM,Y,G,A-MANTLE CREAM,
6145499,ABACAVIR 300 MG TABLET,0.98368,181017,EA,N,G,ABACAVIR,300 MG TABLET
6146897,ABACAVIR-LAMIVUDINE 600-300 MG,3.27450,181017,EA,N,G,ABACAVIR-LAMIVUDINE,600-300 MG
